station_id,province,dly_date_first,dly_date_last,dly_years_active
41783,AB,2003-04-01,2021-07-05,18.0
10725,AB,1994-03-22,2021-07-05,27.0
43963,BC,2005-08-22,2021-07-05,16.0
1041,BC,1990-08-01,2021-07-05,31.0
31410,AB,2002-02-01,2021-07-05,19.0
1046,BC,1971-03-01,2021-07-03,50.0
10665,AB,1998-02-01,2021-07-05,23.0
536,BC,1984-04-01,2021-07-05,37.0
323,BC,1961-05-01,2021-07-04,60.0
31468,AB,2002-02-01,2021-07-05,19.0
2174,AB,1987-06-01,2021-07-04,34.0
27218,AB,1996-03-01,2021-07-05,25.0
6830,BC,1993-10-01,2021-07-05,28.0
1504,BC,1974-05-01,2021-07-01,47.0
844,BC,1968-01-01,2021-07-05,53.0
32454,AB,2002-11-01,2021-07-05,19.0
8045,BC,1992-12-11,2021-07-05,29.0
45267,BC,2006-07-28,2021-07-05,15.0
834,BC,1970-11-01,2021-07-04,51.0
82,BC,1970-02-01,2021-07-03,51.0
327,BC,1954-01-01,2021-07-04,67.0
41784,AB,2003-06-01,2021-07-05,18.0
636,BC,1975-11-01,2021-06-29,46.0
1056,BC,1936-11-01,2021-07-04,85.0
6834,BC,1992-11-01,2021-07-05,29.0
8092,BC,1993-03-25,2021-07-05,28.0
45627,BC,2006-11-01,2021-07-05,15.0
271,BC,1895-06-01,2021-07-02,126.0
272,BC,1978-11-01,2021-07-04,43.0
2295,AB,1961-08-01,2021-06-30,60.0
10943,BC,1995-02-08,2021-07-05,26.0
42729,AB,2004-06-01,2021-07-05,17.0
10183,AB,1994-03-26,2021-07-05,27.0
31413,AB,2001-12-01,2021-07-05,20.0
853,BC,1963-11-01,2021-07-04,58.0
837,BC,1977-03-01,2021-06-29,44.0
8712,AB,1992-12-02,2021-07-05,29.0
8064,BC,1994-12-30,2021-07-05,27.0
42731,AB,2004-06-01,2021-07-05,17.0
6843,BC,1991-01-01,2021-07-05,30.0
6831,BC,1991-07-01,2021-07-05,30.0
8261,BC,1994-12-30,2021-07-05,27.0
6810,BC,1991-06-01,2021-07-05,30.0
96,BC,1980-05-01,2021-07-05,41.0
32455,AB,2002-11-01,2021-07-05,19.0
42730,AB,2004-06-16,2021-07-05,17.0
97,BC,1911-05-01,2021-07-04,110.0
6811,BC,1992-05-01,2021-07-05,29.0
1327,BC,1989-06-01,2021-07-04,32.0
2793,AB,1973-10-01,2021-07-04,48.0
6813,BC,1992-05-01,2021-07-05,29.0
32456,AB,2002-11-01,2021-07-05,19.0
8260,BC,1994-12-30,2021-07-05,27.0
6842,BC,1992-11-01,2021-07-05,29.0
650,BC,1983-06-01,2021-07-03,38.0
336,BC,1982-05-01,2021-07-05,39.0
32457,AB,2002-11-01,2021-07-05,19.0
27200,AB,1996-11-01,2021-07-05,25.0
32458,AB,2003-01-01,2021-07-05,18.0
42725,AB,2004-06-01,2021-07-05,17.0
870,BC,1957-02-01,2021-07-04,64.0
979,BC,1990-06-01,2021-07-05,31.0
10105,AB,1993-06-04,2021-07-05,28.0
450,BC,1982-10-01,2021-07-04,39.0
2315,AB,1907-03-01,2021-06-27,114.0
276,BC,1989-02-01,2021-07-02,32.0
30494,BC,2000-08-10,2021-07-05,21.0
442,BC,1968-04-01,2021-07-04,53.0
10907,AB,1993-06-04,2021-07-05,28.0
277,BC,1942-07-01,2021-07-03,79.0
43581,AB,2005-02-25,2021-07-05,16.0
446,BC,1989-06-01,2021-07-04,32.0
32459,AB,2003-01-01,2021-07-05,18.0
283,BC,1964-06-01,2021-07-04,57.0
27018,AB,1995-01-01,2021-07-02,26.0
32460,AB,2002-11-01,2021-07-05,19.0
888,BC,1925-11-01,2021-07-05,96.0
655,BC,1980-08-01,2021-07-02,41.0
10889,AB,1993-06-04,2021-07-05,28.0
1977,AB,1980-11-01,2021-07-05,41.0
32461,AB,2002-11-01,2021-07-05,19.0
46987,BC,2005-01-01,2021-07-05,16.0
1070,BC,1970-07-01,2021-07-04,51.0
114,BC,1973-01-01,2021-07-05,48.0
6812,BC,1992-12-01,2021-07-05,29.0
30643,AB,2000-11-28,2021-07-05,21.0
26888,AB,1995-10-06,2021-07-05,26.0
31067,BC,2001-11-26,2021-07-05,20.0
26850,AB,1994-07-06,2021-07-05,27.0
6833,BC,1992-12-01,2021-07-05,29.0
348,BC,1976-11-01,2021-07-04,45.0
43443,BC,2005-06-13,2021-07-05,16.0
924,BC,1972-11-01,2021-07-04,49.0
925,BC,1929-01-01,2021-07-05,92.0
10930,AB,1993-11-30,2021-07-05,28.0
31412,AB,2002-07-01,2021-07-05,19.0
6844,BC,1992-11-01,2021-07-05,29.0
